service_id,date,exception_type
0000000662014021720140611,20140426,2
0000000662014021720140611,20140501,2
0000000662014021720140611,20140602,2
0000000672013091120140611,20140417,2
0000000672013091120140611,20140418,2
0000000672013091120140611,20140419,2
0000000672013091120140611,20140421,2
0000000672013091120140611,20140422,2
0000000672013091120140611,20140423,2
0000000672013091120140611,20140424,2
0000000672013091120140611,20140425,2
0000000672013091120140611,20140426,2
0000000672013091120140611,20140501,2
0000000672013091120140611,20140602,2
0000000672013111120140611,20140417,2
0000000672013111120140611,20140418,2
0000000672013111120140611,20140419,2
0000000672013111120140611,20140421,2
0000000672013111120140611,20140422,2
0000000672013111120140611,20140423,2
0000000672013111120140611,20140424,2
0000000672013111120140611,20140425,2
0000000672013111120140611,20140426,2
0000000672013111120140611,20140501,2
0000000672013111120140611,20140602,2
0000000672014021720140611,20140417,2
0000000672014021720140611,20140418,2
0000000672014021720140611,20140419,2
0000000672014021720140611,20140421,2
0000000672014021720140611,20140422,2
0000000672014021720140611,20140423,2
0000000672014021720140611,20140424,2
0000000672014021720140611,20140425,2
0000000672014021720140611,20140426,2
0000000672014021720140611,20140501,2
0000000672014021720140611,20140602,2
0000000772013091120140611,20140417,2
0000000772013091120140611,20140418,2
0000000772013091120140611,20140419,2
0000000772013091120140611,20140421,2
0000000772013091120140611,20140422,2
0000000772013091120140611,20140423,2
0000000772013091120140611,20140424,2
0000000772013091120140611,20140425,2
0000000772013091120140611,20140426,2
0000000772013091120140611,20140501,2
0000000772013091120140611,20140602,2
0000000822013091120140611,20140421,2
0000000822013091120140611,20140425,2
0000000822013091120140611,20140426,2
0000000822013091120140611,20140501,2
0000000822013091120140611,20140602,2
0000000822013092120140611,20140421,2
0000000822013092120140611,20140425,2
0000000822013092120140611,20140426,2
0000000822013092120140611,20140501,2
0000000822013092120140611,20140602,2
0000000822013093020140611,20140421,2
0000000822013093020140611,20140425,2
0000000822013093020140611,20140426,2
0000000822013093020140611,20140501,2
0000000822013093020140611,20140602,2
0000000822014021720140611,20140421,2
0000000822014021720140611,20140425,2
0000000822014021720140611,20140426,2
0000000822014021720140611,20140501,2
0000000822014021720140611,20140602,2
0000001092013091120140611,20140327,2
0000001092013091120140611,20140328,2
0000001092013091120140611,20140329,2
0000001092013091120140611,20140331,2
0000001092013091120140611,20140401,2
0000001092013091120140611,20140402,2
0000001092013091120140611,20140403,2
0000001092013091120140611,20140404,2
0000001092013091120140611,20140405,2
0000001092013091120140611,20140407,2
0000001092013091120140611,20140408,2
0000001092013091120140611,20140409,2
0000001092013091120140611,20140410,2
0000001092013091120140611,20140411,2
0000001092013091120140611,20140412,2
0000001092013091120140611,20140414,2
0000001092013091120140611,20140415,2
0000001092013091120140611,20140416,2
0000001092013091120140611,20140421,2
