route_id,service_id,trip_id,shape_id 
1A_andata_1,L_V,1,1A_andata_1  
1A_andata_1,L_V,2,1A_andata_1 
1A_andata_1,L_V,3,1A_andata_1 
1A_andata_1,L_V,4,1A_andata_1 
1A_andata_1,L_V,5,1A_andata_1 
1A_andata_1,L_V,6,1A_andata_1 
1A_andata_1,L_V,7,1A_andata_1 
1A_andata_1,L_V,8,1A_andata_1 
1A_andata_1,L_V,9,1A_andata_1 
1A_andata_1,L_V,10,1A_andata_1 
1A_andata_1,L_V,11,1A_andata_1 
1A_andata_1,L_V,12,1A_andata_1 
1A_andata_1,L_V,13,1A_andata_1 
1A_andata_1,L_V,14,1A_andata_1 
1A_andata_1,L_V,15,1A_andata_1 
1A_andata_1,L_V,16,1A_andata_1 
1A_andata_1,L_V,17,1A_andata_1 
1A_andata_1,L_V,18,1A_andata_1 
1A_andata_1,L_V,19,1A_andata_1 
1A_andata_1,L_V,20,1A_andata_1 
1A_andata_1,L_V,21,1A_andata_1 
1A_andata_1,L_V,22,1A_andata_1 
1A_andata_1,L_V,23,1A_andata_1 
1A_andata_1,L_V,24,1A_andata_1 
1A_andata_1,L_V,25,1A_andata_1 
1A_andata_1,L_V,26,1A_andata_1 
1A_andata_1,L_V,27,1A_andata_1 
1A_andata_1,L_V,28,1A_andata_1 
1A_andata_1,L_V,29,1A_andata_1 
1A_andata_1,L_V,30,1A_andata_1 
1A_andata_1,L_V,31,1A_andata_1 
1A_andata_1,L_V,32,1A_andata_1 
1A_andata_1,L_V,33,1A_andata_1 
1A_andata_1,L_V,34,1A_andata_1 
1A_andata_1,L_V,35,1A_andata_1 
1A_andata_1,L_V,36,1A_andata_1 
1A_andata_1,L_V,37,1A_andata_1 
1A_andata_1,L_V,38,1A_andata_1 
1A_andata_1,L_V,39,1A_andata_1 
1A_andata_1,L_V,40,1A_andata_1 
1A_andata_1,L_V,41,1A_andata_1 
1A_andata_1,L_V,42,1A_andata_1 
1A_andata_1,L_V,43,1A_andata_1 
1A_andata_1,L_V,44,1A_andata_1 
1A_andata_1,L_V,45,1A_andata_1 
1A_andata_1,L_V,46,1A_andata_1 
1A_andata_1,L_V,47,1A_andata_1 
