service_id,date,exception_type
0000001092013091120140611,20140322,2
0000001092013091120140611,20140324,2
0000001092013091120140611,20140325,2
0000001092013091120140611,20140326,2
0000001092013091120140611,20140327,2
0000001092013091120140611,20140328,2
0000001092013091120140611,20140329,2
0000001092013091120140611,20140331,2
0000001092013091120140611,20140401,2
0000001092013091120140611,20140402,2
0000001092013091120140611,20140403,2
0000001092013091120140611,20140404,2
0000001092013091120140611,20140405,2
0000001092013091120140611,20140407,2
0000001092013091120140611,20140408,2
0000001092013091120140611,20140409,2
0000001092013091120140611,20140410,2
0000001092013091120140611,20140411,2
0000001092013091120140611,20140412,2
0000001092013091120140611,20140414,2
0000001092013091120140611,20140415,2
0000001092013091120140611,20140416,2
0000001092013091120140611,20140421,2
0000001092013091120140611,20140425,2
0000001092013091120140611,20140426,2
0000001092013091120140611,20140428,2
0000001092013091120140611,20140429,2
0000001092013091120140611,20140430,2
0000001092013091120140611,20140501,2
0000001092013091120140611,20140502,2
0000001092013091120140611,20140503,2
0000001092013091120140611,20140505,2
0000001092013091120140611,20140506,2
0000001092013091120140611,20140507,2
0000001092013091120140611,20140508,2
0000001092013091120140611,20140509,2
0000001092013091120140611,20140510,2
0000001092013091120140611,20140512,2
0000001092013091120140611,20140513,2
0000001092013091120140611,20140514,2
0000001092013091120140611,20140515,2
0000001092013091120140611,20140516,2
0000001092013091120140611,20140517,2
0000001092013091120140611,20140519,2
0000001092013091120140611,20140520,2
0000001092013091120140611,20140521,2
0000001092013091120140611,20140522,2
0000001092013091120140611,20140523,2
0000001092013091120140611,20140524,2
0000001092013091120140611,20140526,2
0000001092013091120140611,20140527,2
0000001092013091120140611,20140528,2
0000001092013091120140611,20140529,2
0000001092013091120140611,20140530,2
0000001092013091120140611,20140531,2
0000001092013091120140611,20140602,2
0000001092013091120140611,20140603,2
0000001092013091120140611,20140604,2
0000001092013091120140611,20140605,2
0000001092013091120140611,20140606,2
0000001092013091120140611,20140607,2
0000001092013091120140611,20140609,2
0000001092013091120140611,20140610,2
0000001092013091120140611,20140611,2
